DATE,JHDUSRGDPBR,
10/1/67,0,1
,,1
,,1
1/1/68,0,2
,,2
,,2
4/1/68,0,3
,,3
,,3
7/1/68,0,4
,,4
,,4
10/1/68,0,5
,,5
,,5
1/1/69,0,6
,,6
,,6
4/1/69,1,7
,,7
,,7
7/1/69,1,8
,,8
,,8
10/1/69,1,9
,,9
,,9
1/1/70,1,10
,,10
,,10
4/1/70,1,11
,,11
,,11
7/1/70,1,12
,,12
,,12
10/1/70,1,13
,,13
,,13
1/1/71,0,14
,,14
,,14
4/1/71,0,15
,,15
,,15
7/1/71,0,16
,,16
,,16
10/1/71,0,17
,,17
,,17
1/1/72,0,18
,,18
,,18
4/1/72,0,19
,,19
,,19
7/1/72,0,20
,,20
,,20
10/1/72,0,21
,,21
,,21
1/1/73,0,22
,,22
,,22
4/1/73,0,23
,,23
,,23
7/1/73,0,24
,,24
,,24
10/1/73,1,25
,,25
,,25
1/1/74,1,26
,,26
,,26
4/1/74,1,27
,,27
,,27
7/1/74,1,28
,,28
,,28
10/1/74,1,29
,,29
,,29
1/1/75,1,30
,,30
,,30
4/1/75,0,31
,,31
,,31
7/1/75,0,32
,,32
,,32
10/1/75,0,33
,,33
,,33
1/1/76,0,34
,,34
,,34
4/1/76,0,35
,,35
,,35
7/1/76,0,36
,,36
,,36
10/1/76,0,37
,,37
,,37
1/1/77,0,38
,,38
,,38
4/1/77,0,39
,,39
,,39
7/1/77,0,40
,,40
,,40
10/1/77,0,41
,,41
,,41
1/1/78,0,42
,,42
,,42
4/1/78,0,43
,,43
,,43
7/1/78,0,44
,,44
,,44
10/1/78,0,45
,,45
,,45
1/1/79,0,46
,,46
,,46
4/1/79,1,47
,,47
,,47
7/1/79,1,48
,,48
,,48
10/1/79,1,49
,,49
,,49
1/1/80,1,50
,,50
,,50
4/1/80,1,51
,,51
,,51
7/1/80,0,52
,,52
,,52
10/1/80,0,53
,,53
,,53
1/1/81,0,54
,,54
,,54
4/1/81,1,55
,,55
,,55
7/1/81,1,56
,,56
,,56
10/1/81,1,57
,,57
,,57
1/1/82,1,58
,,58
,,58
4/1/82,1,59
,,59
,,59
7/1/82,0,60
,,60
,,60
10/1/82,0,61
,,61
,,61
1/1/83,0,62
,,62
,,62
4/1/83,0,63
,,63
,,63
7/1/83,0,64
,,64
,,64
10/1/83,0,65
,,65
,,65
1/1/84,0,66
,,66
,,66
4/1/84,0,67
,,67
,,67
7/1/84,0,68
,,68
,,68
10/1/84,0,69
,,69
,,69
1/1/85,0,70
,,70
,,70
4/1/85,0,71
,,71
,,71
7/1/85,0,72
,,72
,,72
10/1/85,0,73
,,73
,,73
1/1/86,0,74
,,74
,,74
4/1/86,0,75
,,75
,,75
7/1/86,0,76
,,76
,,76
10/1/86,0,77
,,77
,,77
1/1/87,0,78
,,78
,,78
4/1/87,0,79
,,79
,,79
7/1/87,0,80
,,80
,,80
10/1/87,0,81
,,81
,,81
1/1/88,0,82
,,82
,,82
4/1/88,0,83
,,83
,,83
7/1/88,0,84
,,84
,,84
10/1/88,0,85
,,85
,,85
1/1/89,0,86
,,86
,,86
4/1/89,0,87
,,87
,,87
7/1/89,0,88
,,88
,,88
10/1/89,1,89
,,89
,,89
1/1/90,1,90
,,90
,,90
4/1/90,1,91
,,91
,,91
7/1/90,1,92
,,92
,,92
10/1/90,1,93
,,93
,,93
1/1/91,1,94
,,94
,,94
4/1/91,0,95
,,95
,,95
7/1/91,0,96
,,96
,,96
10/1/91,0,97
,,97
,,97
1/1/92,0,98
,,98
,,98
4/1/92,0,99
,,99
,,99
7/1/92,0,100
,,100
,,100
10/1/92,0,101
,,101
,,101
1/1/93,0,102
,,102
,,102
4/1/93,0,103
,,103
,,103
7/1/93,0,104
,,104
,,104
10/1/93,0,105
,,105
,,105
1/1/94,0,106
,,106
,,106
4/1/94,0,107
,,107
,,107
7/1/94,0,108
,,108
,,108
10/1/94,0,109
,,109
,,109
1/1/95,0,110
,,110
,,110
4/1/95,0,111
,,111
,,111
7/1/95,0,112
,,112
,,112
10/1/95,0,113
,,113
,,113
1/1/96,0,114
,,114
,,114
4/1/96,0,115
,,115
,,115
7/1/96,0,116
,,116
,,116
10/1/96,0,117
,,117
,,117
1/1/97,0,118
,,118
,,118
4/1/97,0,119
,,119
,,119
7/1/97,0,120
,,120
,,120
10/1/97,0,121
,,121
,,121
1/1/98,0,122
,,122
,,122
4/1/98,0,123
,,123
,,123
7/1/98,0,124
,,124
,,124
10/1/98,0,125
,,125
,,125
1/1/99,0,126
,,126
,,126
4/1/99,0,127
,,127
,,127
7/1/99,0,128
,,128
,,128
10/1/99,0,129
,,129
,,129
1/1/00,0,130
,,130
,,130
4/1/00,0,131
,,131
,,131
7/1/00,0,132
,,132
,,132
10/1/00,0,133
,,133
,,133
1/1/01,1,134
,,134
,,134
4/1/01,1,135
,,135
,,135
7/1/01,1,136
,,136
,,136
10/1/01,0,137
,,137
,,137
1/1/02,0,138
,,138
,,138
4/1/02,0,139
,,139
,,139
7/1/02,0,140
,,140
,,140
10/1/02,0,141
,,141
,,141
1/1/03,0,142
,,142
,,142
4/1/03,0,143
,,143
,,143
7/1/03,0,144
,,144
,,144
10/1/03,0,145
,,145
,,145
1/1/04,0,146
,,146
,,146
4/1/04,0,147
,,147
,,147
7/1/04,0,148
,,148
,,148
10/1/04,0,149
,,149
,,149
1/1/05,0,150
,,150
,,150
4/1/05,0,151
,,151
,,151
7/1/05,0,152
,,152
,,152
10/1/05,0,153
,,153
,,153
1/1/06,0,154
,,154
,,154
4/1/06,0,155
,,155
,,155
7/1/06,0,156
,,156
,,156
10/1/06,0,157
,,157
,,157
1/1/07,0,158
,,158
,,158
4/1/07,0,159
,,159
,,159
7/1/07,0,160
,,160
,,160
10/1/07,1,161
,,161
,,161
1/1/08,1,162
,,162
,,162
4/1/08,1,163
,,163
,,163
7/1/08,1,164
,,164
,,164
10/1/08,1,165
,,165
,,165
1/1/09,1,166
,,166
,,166
4/1/09,1,167
,,167
,,167
7/1/09,0,168
,,168
,,168
10/1/09,0,169
,,169
,,169
1/1/10,0,170
,,170
,,170
4/1/10,0,171
,,171
,,171
7/1/10,0,172
,,172
,,172
10/1/10,0,173
,,173
,,173
1/1/11,0,174
,,174
,,174
4/1/11,0,175
,,175
,,175
7/1/11,0,176
,,176
,,176
10/1/11,0,177
,,177
,,177
1/1/12,0,178
,,178
,,178
4/1/12,0,179
,,179
,,179
7/1/12,0,180
,,180
,,180
10/1/12,0,181
,,181
,,181
1/1/13,0,182
,,182
,,182
4/1/13,0,183
,,183
,,183
7/1/13,0,184
,,184
,,184
10/1/13,0,185
,,185
,,185
1/1/14,0,186
,,186
,,186
4/1/14,0,187
,,187
,,187
7/1/14,0,188
,,188
,,188
10/1/14,0,189
,,189
,,189
1/1/15,0,190
,,190
,,190
4/1/15,0,191
,,191
,,191
7/1/15,0,192
,,192
,,192
10/1/15,0,193
,,193
,,193
1/1/16,0,194
,,194
,,194
4/1/16,0,195
,,195
,,195
7/1/16,0,196
,,196
,,196
10/1/16,0,197
,,197
,,197
1/1/17,0,198
,,198
,,198
4/1/17,0,199
,,199
,,199
7/1/17,0,200
,,200
,,200
10/1/17,0,201
,,201
,,201
1/1/18,0,202
,,202
,,202
4/1/18,0,203
,,203
,,203
7/1/18,0,204
,,204
,,204
10/1/18,0,205
,,205
,,205
1/1/19,0,206
,,206
,,206
4/1/19,0,207
,,207
,,207
7/1/19,0,208
,,208
,,208
